0.50,0
1.00,47
1.50,233
2.00,382
2.50,364
3.00,352
3.50,332
4.00,324
4.50,276
5.00,245
5.50,308
6.00,360
6.50,408
7.00,362
7.50,344
8.00,386
8.50,407
9.00,408
9.50,395
10.00,348
10.50,353
11.00,369
11.50,355
12.00,405
12.50,423
13.00,385
13.50,372
14.00,364
14.50,329
15.00,292
15.50,313
16.00,356
16.50,389
17.00,350
17.50,303
18.00,348
18.50,366
19.00,324
19.50,349
20.00,374
20.50,341
21.00,331
21.50,346
22.00,362
22.50,427
23.00,413
23.50,363
24.00,302
24.50,313
25.00,324
25.50,302
26.00,318
26.50,330
27.00,304
27.50,326
28.00,392
28.50,336
29.00,318
29.50,365
30.00,342
30.50,381
31.00,403
31.50,353
32.00,407
32.50,429
33.00,412
33.50,455
34.00,411
34.50,386
35.00,353
35.50,313
36.00,313
36.50,330
37.00,352
37.50,327
38.00,302
38.50,293
39.00,324
39.50,385
40.00,418
40.50,410
41.00,394
41.50,407
42.00,396
42.50,370
43.00,319
43.50,306
44.00,348
44.50,345
45.00,365
45.50,368
46.00,318
46.50,349
47.00,371
47.50,314
48.00,229
48.50,232
49.00,325
49.50,317
50.00,265
50.50,274
51.00,279
51.50,309
52.00,396
52.50,414
53.00,338
53.50,355
54.00,384
54.50,394
55.00,355
55.50,314
56.00,328
56.50,357
57.00,346
57.50,407
58.00,373
58.50,322
59.00,353
59.50,359
60.00,363
60.50,283
61.00,248
61.50,324
62.00,327
62.50,297
63.00,345
63.50,375
64.00,379
64.50,417
65.00,393
65.50,328
66.00,379
66.50,433
67.00,380
67.50,357
68.00,333
68.50,303
69.00,384
69.50,398
70.00,367
70.50,395
71.00,426
71.50,408
72.00,376
72.50,374
73.00,300
73.50,280
74.00,349
74.50,378
75.00,356
75.50,327
76.00,367
76.50,390
77.00,397
77.50,376
78.00,331
78.50,313
79.00,344
79.50,349
80.00,325
80.50,323
81.00,287
81.50,308
82.00,368
82.50,360
83.00,312
83.50,267
84.00,286
84.50,325
85.00,351
85.50,329
86.00,310
86.50,282
87.00,275
87.50,365
88.00,402
88.50,326
89.00,283
89.50,331
90.00,424
90.50,408
91.00,404
91.50,459
92.00,392
92.50,383
93.00,408
93.50,425
94.00,435
94.50,430
95.00,384
95.50,296
96.00,291
96.50,288
97.00,323
97.50,350
98.00,340
98.50,341
99.00,284
99.50,334
100.00,427
100.50,417
101.00,362
101.50,336
102.00,354
102.50,398
103.00,399
103.50,389
104.00,339
104.50,344
105.00,381
105.50,313
106.00,294
106.50,364
107.00,375
107.50,351
108.00,323
108.50,294
109.00,313
109.50,378
110.00,385
110.50,373
111.00,402
111.50,323
112.00,290
112.50,309
113.00,333
113.50,366
114.00,309
114.50,379
115.00,407
115.50,309
116.00,245
116.50,230
117.00,280
117.50,289
118.00,391
118.50,457
119.00,392
119.50,321
120.00,330
120.50,308
121.00,321
